T20I_Rank,Player,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs
1,Rohit Sharma,159,151,32.05,140.89,121,383,205,32,5,4231
2,Virat Kohli,125,117,48.69,137.04,122,369,124,38,1,4188
3,Surya Kumar Yadav,113,107,36.35,162.94,117,297,179,25,4,3272
4,Hardik Pandya,138,109,28.24,145.91,71,168,126,9,-,2288
5,KL Rahul,72,68,37.75,139.12,110,191,99,22,2,2265
6,Shikhar Dhawan,68,66,27.92,126.36,92,191,50,11,-,1759
7,MS Dhoni,98,85,37.6,126.13,56,116,52,2,-,1617
8,Suresh Raina,78,66,29.18,134.87,101,145,58,5,1,1605
9,Abhishek Sharma,50,49,33.8,192.83,135,160,103,11,2,1589
10,N. Tilak Varma,53,50,44.14,143.49,120,117,75,7,2,1501
11,Sanju Samson,65,57,27.01,155.42,111,116,84,6,3,1405
12,Ishan Kishan,48,48,28.53,146.55,103,135,70,10,1,1341
13,Rishabh Pant,76,66,23.25,127.26,65,111,44,3,-,1209
14,Shreyas Iyer,54,50,30.38,135.89,74,98,45,9,-,1185
15,Yuvraj Singh,58,51,28.02,136.38,77,77,74,8,-,1177
16,Shivam Dube,67,51,31.7,155.33,66,69,68,6,-,1078
17,Gautam Gambhir,37,36,27.41,119.02,75,109,10,7,-,932
18,Shubman Gill,36,36,28.03,138.59,126,98,26,3,1,869
19,Axar Patel,96,59,18.27,131.0,65,51,28,1,-,731
20,Yashasvi Jaiswal,23,22,36.15,164.31,100,82,38,5,1,723
21,Manish Pandey,39,33,44.31,126.15,79,49,19,3,-,709
22,Dinesh Karthik,60,48,26.38,142.61,55,71,28,1,-,686
23,Rinku Singh,45,33,39.11,155.73,69,55,38,3,-,665
24,Ruturaj Gaikwad,23,20,39.56,143.53,123,65,24,4,1,633
25,Ravindra Jadeja,74,41,21.45,127.16,46,39,14,-,-,515
26,Virender Sehwag,19,18,21.88,145.38,68,43,16,2,-,394
27,Ajinkya Rahane,20,20,20.83,113.29,61,32,6,1,-,375
28,Deepak Hooda,21,17,30.66,147.2,104,29,18,-,1,368
29,Washington Sundar,61,26,16.11,129.24,50,21,14,1,-,274
30,Robin Uthappa,13,12,24.9,118.0,50,26,6,1,-,249
31,Yusuf Pathan,22,18,18.15,146.58,37,11,17,-,-,236
32,Ravichandran Ashwin,65,19,26.28,114.99,31,17,4,-,-,184
33,Irfan Pathan,24,14,24.57,119.44,33,9,7,-,-,172
34,Murali Vijay,9,9,18.77,109.74,48,13,8,-,-,169
35,Venkatesh Iyer,9,7,33.25,162.19,35,15,5,-,-,133
36,Krunal Pandya,19,10,24.8,130.52,26,8,6,-,-,124
37,Kedar Jadhav,9,6,20.33,123.23,58,12,3,1,-,122
38,Harbhajan Singh,28,13,13.5,124.13,21,11,4,-,-,108
39,Vijay Shankar,9,4,25.25,138.35,43,11,5,-,-,101
40,Rahul Tripathi,5,5,19.4,144.77,44,11,5,-,-,97
41,Arshdeep Singh,87,31,5.93,100.0,12,9,3,-,-,95
42,Nitish Kumar Reddy,4,3,45.0,180.0,74,4,8,1,-,90
43,Mandeep Singh,3,3,43.5,119.17,52,11,1,1,-,87
44,Harshit Rana,12,6,17.2,114.66,35,6,4,-,-,86
45,Harshal Patel,25,10,12.83,135.08,18,9,3,-,-,77
46,Shardul Thakur,25,6,23.0,181.57,22,5,4,-,-,69
47,Bhuvneshwar Kumar,87,21,8.37,71.27,16,-,-,-,-,67
48,Ravi Bishnoi,46,14,9.28,125.0,10,9,1,-,-,65
49,Deepak Chahar,25,7,26.5,189.28,31,4,4,-,-,53
50,Kuldeep Yadav,54,10,8.0,67.6,23,2,-,-,-,48
51,S Badrinath,1,1,43.0,116.21,43,5,-,-,-,43
52,Ambati Rayudu,6,5,10.5,84.0,20,5,-,-,-,42
53,Devdutt Padikkal,2,2,19.0,100.0,29,2,1,-,-,38
54,Dinesh Mongia,1,1,38.0,84.44,38,4,1,-,-,38
55,Parthiv Patel,2,2,18.0,112.5,26,4,1,-,-,36
56,Stuart Binny,3,2,17.5,120.68,24,2,1,-,-,35
57,Rahul Dravid,1,1,31.0,147.61,31,-,3,-,-,31
58,Ashish Nehra,27,5,5.6,71.79,22,1,2,-,-,28
59,Shivam Mavi,6,2,14.0,155.55,26,2,2,-,-,28
60,Avesh Khan,25,5,13.5,135.0,16,3,1,-,-,27
61,Ashok Dinda,9,2,22.0,91.66,19,1,-,-,-,22
62,Umesh Yadav,9,2,22.0,104.76,20,2,-,-,-,22
63,Sreesanth,10,3,20.0,142.85,19,4,-,-,-,20
64,Ajit Agarkar,4,2,7.5,136.36,14,2,-,-,-,15
65,Manoj Tiwary,3,1,15.0,88.23,15,-,-,-,-,15
66,Nitish Rana,2,2,7.5,55.55,9,-,-,-,-,15
67,Ramandeep Singh,2,1,15.0,250.0,15,1,1,-,-,15
68,Mohammed Siraj,17,4,7.0,87.5,7,1,-,-,-,14
69,Vaibhav Sooryavanshi,1,1,14.0,140.0,14,-,2,-,-,14
70,Zaheer Khan,17,4,6.5,130.0,9,-,1,-,-,13
71,Jasprit Bumrah,95,12,2.0,66.66,7,2,-,-,-,12
72,Navdeep Saini,11,3,0.0,109.09,11,2,-,-,-,12
73,Dhruv Jurel,4,3,4.0,52.17,6,1,-,-,-,12
74,Naman Ojha,2,2,6.0,44.44,10,2,-,-,-,12
75,Pragyan Ojha,6,1,0.0,166.66,10,-,1,-,-,10
76,Sachin Tendulkar,1,1,10.0,83.33,10,2,-,-,-,10
77,Ishant Sharma,14,3,8.0,88.88,5,1,-,-,-,8
78,Praveen Kumar,10,3,2.33,43.75,6,-,-,-,-,7
79,Yuzvendra Chahal,80,6,3.0,46.15,3,-,-,-,-,6
80,Mohammad Shami,25,5,3.0,60.0,6,-,1,-,-,6
81,Prince Yadav,1,1,0.0,600.0,6,-,1,-,-,6
82,Mukesh Kumar,17,4,5.0,100.0,4,1,-,-,-,5
83,Umran Malik,8,2,0.0,250.0,4,1,-,-,-,5
84,Rahul Chahar,6,1,5.0,100.0,5,1,-,-,-,5
85,Chetan Sakariya,2,1,0.0,55.55,5,-,-,-,-,5
86,Parvez Rasool,1,1,5.0,83.33,5,-,-,-,-,5
87,Varun Chakaravarthy,46,10,0.75,20.0,1,-,-,-,-,3
88,RP Singh,10,2,0.0,100.0,2,-,-,-,-,3
89,Mohit Sharma,8,2,0.0,42.85,3,-,-,-,-,3
90,Vinay Kumar,9,1,0.0,50.0,2,-,-,-,-,2
91,Syed Khaleel Ahmed,18,2,0.0,50.0,1,-,-,-,-,1
92,Prasidh Krishna,6,1,0.0,50.0,1,-,-,-,-,1
93,Sandeep Sharma,2,1,0.0,100.0,1,-,-,-,-,1
94,Dhawal Kulkarni,2,1,0.0,100.0,1,-,-,-,-,1
95,Suryansh Shedge,1,1,1.0,20.0,1,-,-,-,-,1
96,Rishi Dhawan,1,1,0.0,50.0,1,-,-,-,-,1
